1 א 31 א 61 א 91 א 121 ד 151 ב 181 ד
2 ב 32 ד 62 א 92 ד 122 ד 152 ב 182 ג
3 ד 33 ב 63 ג 93 א 123 ד 153 ד 183 ד
4 א 34 ב 64 א 94 ד 124 א 154 א 184 ב
5 א 35 ב 65 ד 95 א 125 ג 155 א 185 ד
6 א 36 ג 66 ב 96 א 126 א 156 ד 186 א
7 ג 37 ד 67 ב 97 ד 127 ב 157 א 187 א
8 ב 38 ד 68 ד 98 ג 128 ג 158 ד 188 א
9 א 39 ג 69 ד 99 ג 129 ב 159 ב 189 ב
10 ב 40 ג 70 ב 100 ב 130 ב 160 ב 190 ג
11 א 41 ב 71 ב 101 ד 131 ד 161 ב 191 ב
12 ג 42 ב 72 ב 102 ב 132 ג 162 א 192 א
13 ד 43 ד 73 ד 103 ד 133 ב 163 ד 193 א
14 א 44 ב 74 ד 104 א 134 א 164 ד 200 z
15 ג 45 ג 75 ד 105 ד 135 ב 165 א 201 z
16 ג 46 ב 76 ד 106 ג 136 ד 166 ב 201 z
17 ב 47 ב 77 ד 107 א 137 ד 167 ג 201 z
18 ב 48 א 78 ד 108 ג 138 ג 168 ב 201 z
19 א 49 ד 79 א 109 ב 139 ג 169 א 201 z
20 ד 50 א 80 ד 110 ב 140 ד 170 א 201 z
21 ב 51 א 81 ד 111 א 141 ב 171 ג 201 z
22 ד 52 ד 82 ד 112 ג 142 ד 172 ב 201 z
23 א 53 ג 83 ב 113 א 143 ג 173 ד 201 z
24 א 54 א 84 א 114 ד 144 ד 174 א 201 z
25 ג 55 ב 85 א 115 ב 145 ד 175 ב 201 z
26 ג 56 ג 86 ד 116 ד 146 ד 176 ב 201 z
27 ד 57 ד 87 א 117 א 147 ב 177 א 201 z
28 ד 58 ב 88 ג 118 ג 148 א 178 ב 201 z
29 ד 59 ג 89 ב 119 א 149 ד 179 ג 201 z
30 ד 60 ד 90 ד 120 ד 150 א 180 ב 201 z
